	MC Sample	Luminosity	Cross Section (pb)	Number of Events	Calculated Weight
539	WJetsToLNu_HT-200To400	59830	435.23699999999997	25468933.0	1.0224311206912358
540	WJetsToLNu_HT-400To600	59830	59.181099999999994	5932701.0	0.5968285293663037
541	WJetsToLNu_HT-600To800	59830	14.5805	19728401.0	0.04421804458455605
542	WJetsToLNu_HT-800To1200	59830	6.656210000000001	8402687.0	0.04739448753714139
543	WJetsToLNu_HT-1200To2500	59830	1.6080899999999998	7633949.0	0.012603178865879245
544	WJetsToLNu_HT-2500ToInf	59830	0.0389136	3273980.0	0.0007111224527944581
545	ZZ4l	59830	1.212	26371225.0	0.0027497380193752846
546	TTToSemiLeptonic	59830	365.308992	265706999.0	0.0822576637936436
547	TTTo2L2Nu	59830	88.249736	62300000.0	0.08475091019069021
548	TTToHadronic	59830	377.951744	317792000.0	0.07115614251938375
549	DYJetsToLL_Pt-50To100	59830	387.130778	120435658.0	0.19231874373734065
550	DYJetsToLL_Pt-100To250	59830	89.395097	81633326.0	0.06551869090216905
551	DYJetsToLL_Pt-250To400	59830	3.435181	20121253.0	0.010214417523103555
552	DYJetsToLL_Pt-400To650	59830	0.464024	1863809.0	0.0148956013840474
553	DYJetsToLL_Pt-650ToInf	59830	0.043602	1895998.0	0.001375902115930502
554	WZ3l1nu	59830	4.708	21997587.0	0.01280502447836665
555	WZ2l2q	59830	5.595	28193648.0	0.011873201013221132
556	WZ1l1nu2q	59830	10.71	68048958.0	0.009416445436240185
557	ZZ2l2q	59830	3.22	54856689.0	0.00351192540986205
558	WZ1l3nu	59830	3.05	1690064.0	0.10797313001164453
559	VV2l2nu	59830	11.95	9848488.0	0.07259677830749248
